id,price,price_m,area,room,year,loc,url,offer,seller,addons,market,floor,floor_count,seller_type,base_year
ID4ilK3,775000,10915,71.0,3,1930,"Wrocław, Pilczyce, ul. Tkacka",https://www.otodom.pl/pl/oferta/ID4ilK3,Słoneczne mieszkanie z ogrodem wśród zieleni,SDP Nieruchomości,piwnica,wtórny,1,2,Biuro nieruchomości,2023
ID4epJ5,467000,11971,39.01,1,0,"Wrocław, Szczepin, ul. Jaworska",https://www.otodom.pl/pl/oferta/ID4epJ5,1-pokojowy apartament inwestycyjny 39m2 + balkon,INWESTGRUPA,0,0,2,12,Deweloper,2023
ID4kCMl,379000,9706,39.05,2,0,"Krzyki, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kCMl,"Mieszkanie, 39,05 m², Wrocław",AGATA MROŻEK NIERUCHOMOŚCI,piwnica,wtórny,2,4,Biuro nieruchomości,2023
ID4gnp1,732996,6600,111.06,5,2022,"Wrocław, Lipa Piotrowska, ul. Kminkowa",https://www.otodom.pl/pl/oferta/ID4gnp1,Kminkowa Zachód | ustawne mieszkanie B7/1/1,PBO DACH BUD SP. Z O.O.,brak informacji,pierwotny,1,1,Deweloper,2023
ID4jJ26,549000,14041,39.1,2,2018,"Wrocław, Psie Pole, ul. Ferdynanda Magellana",https://www.otodom.pl/pl/oferta/ID4jJ26,Mieszkanie 2-pokojowe Olimpia Port Balkon Garaż,Oferta Prywatna,brak informacji,wtórny,parter,3,Oferta Prywatna,2023
ID4iN39,415000,9169,45.26,2,0,"Wrocław, Fabryczna, ul. Metalowców",https://www.otodom.pl/pl/oferta/ID4iN39,"Mieszkanie, 45,26 m², Wrocław",TARO Nieruchomości,brak informacji,wtórny,parter,4,Biuro nieruchomości,2023
ID4kEg0,417000,8598,48.5,3,2023,"Wrocław, Bieńkowice, ul. Boiskowa",https://www.otodom.pl/pl/oferta/ID4kEg0,3 pokoje w cenie 2| Obok Park| Media Miejskie,Od Deweloperów,brak informacji,pierwotny,1,3,Biuro nieruchomości,2023
ID4kEfw,412942,10293,40.12,2,0,"Wrocław, Jagodno, ul. Buforowa",https://www.otodom.pl/pl/oferta/ID4kEfw,Przestronny balkon| garderoba| RABAT INF w opisie,Lokum Marzeń,brak informacji,pierwotny,2,5,Biuro nieruchomości,2023
ID4kE8K,348000,7565,46.0,2,1995,"Wrocław, Sołtysowice, ul. Czytankowa",https://www.otodom.pl/pl/oferta/ID4kE8K,2 pokojowe Wrocław Sołtysowice,Wroclove Property Sp. z o.o.,piwnica,wtórny,3,3,Biuro nieruchomości,2023
ID4kEi6,475000,8979,52.9,3,2023,"Wrocław, Jagodno, ul. Buforowa",https://www.otodom.pl/pl/oferta/ID4kEi6,Ogródek 27m2| 2 sypialnie| Blisko przystanek,Od Deweloperów,brak informacji,pierwotny,parter,5,Biuro nieruchomości,2023
