id,price,price_m,area,room,year,loc,url,offer,seller,addons,market,floor,floor_count
ID4aMW5,443000,12302,36.01,2,2022,"Wrocław, Śródmieście, Wyszyńskiego",https://www.otodom.pl/pl/oferta/ID4aMW5,"2 pokoje,kuchnia,balkon z widokiem na zieleń",SDP,internet:balkon:garaż/miejsce parkingowe,0,2,6
ID4acrQ,545000,10283,53.0,2,2012,"Wrocław, Fabryczna, Grabiszyn, ul. Mosiężna",https://www.otodom.pl/pl/oferta/ID4acrQ,Wysoki standard Wrocław ul. Mosiężna ofert prywatn,Oferta prywatna,telewizja kablowa:internet:telefon:drzwi / okna antywłamaniowe:domofon / wideofon:monitoring / ochrona:zmywarka:lodówka:meble:piekarnik:kuchenka:telewizor:pralka:garaż/miejsce parkingowe:winda:taras,0,1,0
ID46i9E,893000,9400,95.0,4,2001,"Wrocław, Psie Pole, al. Tadeusza Boya-Żeleńskiego",https://www.otodom.pl/pl/oferta/ID46i9E,"Przestronny, stylowy Apartament - Karłowice 95m""",JOT,balkon:garaż/miejsce parkingowe:oddzielna kuchnia:pom. użytkowe,0,1,2
ID4aY9T,467000,9121,51.2,2,0,"Wrocław, dolnośląskie",https://www.otodom.pl/pl/oferta/ID4aY9T,Spokojna okolica/2 Pok/Balkon/Sołtysowice,RENOMAHOME,,0,1,0
ID4aY9R,333000,9250,36.0,2,0,"Wrocław, dolnośląskie",https://www.otodom.pl/pl/oferta/ID4aY9R,Lux//Muchobór/36m2/2 Pokoje,RENOMAHOME,telewizja kablowa:internet:telefon:piwnica:garaż/miejsce parkingowe,0,parter,3
ID4aY9N,640000,10718,59.71,3,2014,"Wrocław, Krzyki, Huby, Dyrekcyjna",https://www.otodom.pl/pl/oferta/ID4aY9N,3 pokoje | 60m2 | Parter | Taras,Klos Nieruchomości,drzwi / okna antywłamaniowe:domofon / wideofon:monitoring / ochrona:rolety antywłamaniowe:meble:winda:oddzielna kuchnia:taras,0,parter,5
ID4aY9s,470000,7532,62.4,3,0,"Wrocław, dolnośląskie",https://www.otodom.pl/pl/oferta/ID4aY9s,3Pok/Centrum/Rozkład/Balkon/62m2/ Okazja,RENOMAHOME,balkon:piwnica:winda,0,10,0
ID4aY9r,390000,9198,42.4,2,2016,"Wrocław, dolnośląskie",https://www.otodom.pl/pl/oferta/ID4aY9r,"Lux Styl, Antresola ! 42m2/ Miejsce Parkingowe",RENOMAHOME,balkon,0,2,2
ID4aY9q,230000,11275,20.4,1,0,"Wrocław, Fabryczna",https://www.otodom.pl/pl/oferta/ID4aY9q,"Kawalerka, Balkon, Centrum, Pl. Legionów",RENOMAHOME,internet:balkon:garaż/miejsce parkingowe:winda,0,6,11
ID4aY97,619000,4390,141.0,5,2005,"Gwiaździsta, Radwanice, wrocławski, dolnośląskie",https://www.otodom.pl/pl/oferta/ID4aY97,"Jasne,przestronne, balkon 6m2 Możliwa Zamiana",TOP biuro,telewizja kablowa:teren zamknięty:domofon / wideofon:meble:balkon:dwupoziomowe,0,3,3
